GEO.id,GEO.id2,GEO.display-label,GCT_STUB.target-geo-id,GCT_STUB.target-geo-id2,GCT_STUB.display-label,GCT_STUB.display-label,HC01,HC02
Id,Id2,Geography,Target Geo Id,Target Geo Id2,Geographic Area,Geographic Area,Minute,Margin of Error
0100000US,,United States,310M100US11620,11620,"United States - In metropolitan or micropolitan statistical area - Ardmore, OK Micro Area","Ardmore, OK Micro Area",18.7,0.9
0100000US,,United States,310M100US11660,11660,"United States - In metropolitan or micropolitan statistical area - Arkadelphia, AR Micro Area","Arkadelphia, AR Micro Area",19.8,1.9
0100000US,,United States,310M100US11700,11700,"United States - In metropolitan or micropolitan statistical area - Asheville, NC Metro Area","Asheville, NC Metro Area",21.6,0.4
0100000US,,United States,310M100US11740,11740,"United States - In metropolitan or micropolitan statistical area - Ashland, OH Micro Area","Ashland, OH Micro Area",22.2,1.0
0100000US,,United States,310M100US11780,11780,"United States - In metropolitan or micropolitan statistical area - Ashtabula, OH Micro Area","Ashtabula, OH Micro Area",25.2,0.9
0100000US,,United States,310M100US11820,11820,"United States - In metropolitan or micropolitan statistical area - Astoria, OR Micro Area","Astoria, OR Micro Area",17.5,1.0
0100000US,,United States,310M100US11860,11860,"United States - In metropolitan or micropolitan statistical area - Atchison, KS Micro Area","Atchison, KS Micro Area",19.3,1.6
0100000US,,United States,310M100US11900,11900,"United States - In metropolitan or micropolitan statistical area - Athens, OH Micro Area","Athens, OH Micro Area",20.2,1.0
0100000US,,United States,310M100US11940,11940,"United States - In metropolitan or micropolitan statistical area - Athens, TN Micro Area","Athens, TN Micro Area",22.2,1.1
0100000US,,United States,310M100US11980,11980,"United States - In metropolitan or micropolitan statistical area - Athens, TX Micro Area","Athens, TX Micro Area",31.3,1.1
0100000US,,United States,310M100US12020,12020,"United States - In metropolitan or micropolitan statistical area - Athens-Clarke County, GA Metro Area","Athens-Clarke County, GA Metro Area",20.4,0.6
0100000US,,United States,310M100US12060,12060,"United States - In metropolitan or micropolitan statistical area - Atlanta-Sandy Springs-Marietta, GA Metro Area","Atlanta-Sandy Springs-Marietta, GA Metro Area",30.5,0.1
0100000US,,United States,310M100US12100,12100,"United States - In metropolitan or micropolitan statistical area - Atlantic City-Hammonton, NJ Metro Area","Atlantic City-Hammonton, NJ Metro Area",23.7,0.4
0100000US,,United States,310M100US12140,12140,"United States - In metropolitan or micropolitan statistical area - Auburn, IN Micro Area","Auburn, IN Micro Area",20.5,1.0
0100000US,,United States,310M100US12180,12180,"United States - In metropolitan or micropolitan statistical area - Auburn, NY Micro Area","Auburn, NY Micro Area",21.0,0.7
0100000US,,United States,310M100US12220,12220,"United States - In metropolitan or micropolitan statistical area - Auburn-Opelika, AL Metro Area","Auburn-Opelika, AL Metro Area",20.3,0.5
0100000US,,United States,310M100US12260,12260,"United States - In metropolitan or micropolitan statistical area - Augusta-Richmond County, GA-SC Metro Area","Augusta-Richmond County, GA-SC Metro Area",23.2,0.3
0100000US,,United States,310M100US12300,12300,"United States - In metropolitan or micropolitan statistical area - Augusta-Waterville, ME Micro Area","Augusta-Waterville, ME Micro Area",22.8,0.4
0100000US,,United States,310M100US12380,12380,"United States - In metropolitan or micropolitan statistical area - Austin, MN Micro Area","Austin, MN Micro Area",18.5,0.8
0100000US,,United States,310M100US12420,12420,"United States - In metropolitan or micropolitan statistical area - Austin-Round Rock-San Marcos, TX Metro Area","Austin-Round Rock-San Marcos, TX Metro Area",25.4,0.2
0100000US,,United States,310M100US12460,12460,"United States - In metropolitan or micropolitan statistical area - Bainbridge, GA Micro Area","Bainbridge, GA Micro Area",21.2,1.3
0100000US,,United States,310M100US12540,12540,"United States - In metropolitan or micropolitan statistical area - Bakersfield-Delano, CA Metro Area","Bakersfield-Delano, CA Metro Area",23.4,0.4
0100000US,,United States,310M100US12580,12580,"United States - In metropolitan or micropolitan statistical area - Baltimore-Towson, MD Metro Area","Baltimore-Towson, MD Metro Area",29.8,0.2
0100000US,,United States,310M100US12620,12620,"United States - In metropolitan or micropolitan statistical area - Bangor, ME Metro Area","Bangor, ME Metro Area",22.1,0.6
0100000US,,United States,310M100US12660,12660,"United States - In metropolitan or micropolitan statistical area - Baraboo, WI Micro Area","Baraboo, WI Micro Area",21.6,0.7
0100000US,,United States,310M100US12700,12700,"United States - In metropolitan or micropolitan statistical area - Barnstable Town, MA Metro Area","Barnstable Town, MA Metro Area",24.3,0.6
0100000US,,United States,310M100US12740,12740,"United States - In metropolitan or micropolitan statistical area - Barre, VT Micro Area","Barre, VT Micro Area",21.4,0.7
0100000US,,United States,310M100US12780,12780,"United States - In metropolitan or micropolitan statistical area - Bartlesville, OK Micro Area","Bartlesville, OK Micro Area",18.1,0.8
0100000US,,United States,310M100US12820,12820,"United States - In metropolitan or micropolitan statistical area - Bastrop, LA Micro Area","Bastrop, LA Micro Area",23.4,1.5
0100000US,,United States,310M100US12860,12860,"United States - In metropolitan or micropolitan statistical area - Batavia, NY Micro Area","Batavia, NY Micro Area",21.4,0.6
0100000US,,United States,310M100US12900,12900,"United States - In metropolitan or micropolitan statistical area - Batesville, AR Micro Area","Batesville, AR Micro Area",20.7,1.5
0100000US,,United States,310M100US12940,12940,"United States - In metropolitan or micropolitan statistical area - Baton Rouge, LA Metro Area","Baton Rouge, LA Metro Area",26.0,0.3
0100000US,,United States,310M100US12980,12980,"United States - In metropolitan or micropolitan statistical area - Battle Creek, MI Metro Area","Battle Creek, MI Metro Area",19.7,0.5
0100000US,,United States,310M100US13020,13020,"United States - In metropolitan or micropolitan statistical area - Bay City, MI Metro Area","Bay City, MI Metro Area",20.9,0.5
0100000US,,United States,310M100US13060,13060,"United States - In metropolitan or micropolitan statistical area - Bay City, TX Micro Area","Bay City, TX Micro Area",20.6,1.6
0100000US,,United States,310M100US13100,13100,"United States - In metropolitan or micropolitan statistical area - Beatrice, NE Micro Area","Beatrice, NE Micro Area",23.3,1.7
0100000US,,United States,310M100US13140,13140,"United States - In metropolitan or micropolitan statistical area - Beaumont-Port Arthur, TX Metro Area","Beaumont-Port Arthur, TX Metro Area",20.9,0.4
0100000US,,United States,310M100US13180,13180,"United States - In metropolitan or micropolitan statistical area - Beaver Dam, WI Micro Area","Beaver Dam, WI Micro Area",22.1,0.6
0100000US,,United States,310M100US13220,13220,"United States - In metropolitan or micropolitan statistical area - Beckley, WV Micro Area","Beckley, WV Micro Area",23.3,1.0
0100000US,,United States,310M100US13260,13260,"United States - In metropolitan or micropolitan statistical area - Bedford, IN Micro Area","Bedford, IN Micro Area",25.3,1.2
0100000US,,United States,310M100US13300,13300,"United States - In metropolitan or micropolitan statistical area - Beeville, TX Micro Area","Beeville, TX Micro Area",20.6,2.3
0100000US,,United States,310M100US13340,13340,"United States - In metropolitan or micropolitan statistical area - Bellefontaine, OH Micro Area","Bellefontaine, OH Micro Area",22.3,1.2
0100000US,,United States,310M100US13380,13380,"United States - In metropolitan or micropolitan statistical area - Bellingham, WA Metro Area","Bellingham, WA Metro Area",20.9,0.5
0100000US,,United States,310M100US13420,13420,"United States - In metropolitan or micropolitan statistical area - Bemidji, MN Micro Area","Bemidji, MN Micro Area",19.7,0.9
0100000US,,United States,310M100US13460,13460,"United States - In metropolitan or micropolitan statistical area - Bend, OR Metro Area","Bend, OR Metro Area",18.4,0.6
0100000US,,United States,310M100US13500,13500,"United States - In metropolitan or micropolitan statistical area - Bennettsville, SC Micro Area","Bennettsville, SC Micro Area",21.5,1.4
0100000US,,United States,310M100US13540,13540,"United States - In metropolitan or micropolitan statistical area - Bennington, VT Micro Area","Bennington, VT Micro Area",18.1,0.7
0100000US,,United States,310M100US13620,13620,"United States - In metropolitan or micropolitan statistical area - Berlin, NH-VT Micro Area","Berlin, NH-VT Micro Area",23.2,1.0
0100000US,,United States,310M100US13660,13660,"United States - In metropolitan or micropolitan statistical area - Big Rapids, MI Micro Area","Big Rapids, MI Micro Area",23.2,1.3
0100000US,,United States,310M100US13700,13700,"United States - In metropolitan or micropolitan statistical area - Big Spring, TX Micro Area","Big Spring, TX Micro Area",17.3,1.7
0100000US,,United States,310M100US13740,13740,"United States - In metropolitan or micropolitan statistical area - Billings, MT Metro Area","Billings, MT Metro Area",18.3,0.5
0100000US,,United States,310M100US13780,13780,"United States - In metropolitan or micropolitan statistical area - Binghamton, NY Metro Area","Binghamton, NY Metro Area",19.6,0.5
0100000US,,United States,310M100US13820,13820,"United States - In metropolitan or micropolitan statistical area - Birmingham-Hoover, AL Metro Area","Birmingham-Hoover, AL Metro Area",26.1,0.2
0100000US,,United States,310M100US13860,13860,"United States - In metropolitan or micropolitan statistical area - Bishop, CA Micro Area","Bishop, CA Micro Area",15.7,1.4
0100000US,,United States,310M100US13900,13900,"United States - In metropolitan or micropolitan statistical area - Bismarck, ND Metro Area","Bismarck, ND Metro Area",18.2,0.8
0100000US,,United States,310M100US13940,13940,"United States - In metropolitan or micropolitan statistical area - Blackfoot, ID Micro Area","Blackfoot, ID Micro Area",21.1,1.0
0100000US,,United States,310M100US13980,13980,"United States - In metropolitan or micropolitan statistical area - Blacksburg-Christiansburg-Radford, VA Metro Area","Blacksburg-Christiansburg-Radford, VA Metro Area",19.7,0.5
0100000US,,United States,310M100US14020,14020,"United States - In metropolitan or micropolitan statistical area - Bloomington, IN Metro Area","Bloomington, IN Metro Area",21.8,0.5
0100000US,,United States,310M100US14060,14060,"United States - In metropolitan or micropolitan statistical area - Bloomington-Normal, IL Metro Area","Bloomington-Normal, IL Metro Area",17.3,0.4
0100000US,,United States,310M100US14100,14100,"United States - In metropolitan or micropolitan statistical area - Bloomsburg-Berwick, PA Micro Area","Bloomsburg-Berwick, PA Micro Area",20.4,0.6
0100000US,,United States,310M100US14140,14140,"United States - In metropolitan or micropolitan statistical area - Bluefield, WV-VA Micro Area","Bluefield, WV-VA Micro Area",23.9,1.0
0100000US,,United States,310M100US14180,14180,"United States - In metropolitan or micropolitan statistical area - Blytheville, AR Micro Area","Blytheville, AR Micro Area",17.4,0.9
0100000US,,United States,310M100US14220,14220,"United States - In metropolitan or micropolitan statistical area - Bogalusa, LA Micro Area","Bogalusa, LA Micro Area",31.1,2.4
0100000US,,United States,310M100US14260,14260,"United States - In metropolitan or micropolitan statistical area - Boise City-Nampa, ID Metro Area","Boise City-Nampa, ID Metro Area",21.2,0.3
0100000US,,United States,310M100US14300,14300,"United States - In metropolitan or micropolitan statistical area - Bonham, TX Micro Area","Bonham, TX Micro Area",30.5,1.7
0100000US,,United States,310M100US14340,14340,"United States - In metropolitan or micropolitan statistical area - Boone, IA Micro Area","Boone, IA Micro Area",21.5,1.3
0100000US,,United States,310M100US14380,14380,"United States - In metropolitan or micropolitan statistical area - Boone, NC Micro Area","Boone, NC Micro Area",18.0,0.8
0100000US,,United States,310M100US14420,14420,"United States - In metropolitan or micropolitan statistical area - Borger, TX Micro Area","Borger, TX Micro Area",19.0,1.6
0100000US,,United States,310M100US14460,14460,"United States - In metropolitan or micropolitan statistical area - Boston-Cambridge-Quincy, MA-NH Metro Area","Boston-Cambridge-Quincy, MA-NH Metro Area",28.8,0.1
0100000US,,United States,314M100US1446014484,1446014484,"United States - In metropolitan or micropolitan statistical area - Boston-Cambridge-Quincy, MA-NH Metro Area - Boston-Quincy, MA Metro Division","Boston-Quincy, MA Metro Division",30.3,0.2
0100000US,,United States,314M100US1446015764,1446015764,"United States - In metropolitan or micropolitan statistical area - Boston-Cambridge-Quincy, MA-NH Metro Area - Cambridge-Newton-Framingham, MA Metro Division","Cambridge-Newton-Framingham, MA Metro Division",28.0,0.2
0100000US,,United States,314M100US1446037764,1446037764,"United States - In metropolitan or micropolitan statistical area - Boston-Cambridge-Quincy, MA-NH Metro Area - Peabody, MA Metro Division","Peabody, MA Metro Division",27.5,0.3
0100000US,,United States,314M100US1446040484,1446040484,"United States - In metropolitan or micropolitan statistical area - Boston-Cambridge-Quincy, MA-NH Metro Area - Rockingham County-Strafford County, NH Metro Division","Rockingham County-Strafford County, NH Metro Division",27.8,0.4
0100000US,,United States,310M100US14500,14500,"United States - In metropolitan or micropolitan statistical area - Boulder, CO Metro Area","Boulder, CO Metro Area",22.0,0.4
0100000US,,United States,310M100US14540,14540,"United States - In metropolitan or micropolitan statistical area - Bowling Green, KY Metro Area","Bowling Green, KY Metro Area",19.8,0.5
0100000US,,United States,310M100US14580,14580,"United States - In metropolitan or micropolitan statistical area - Bozeman, MT Micro Area","Bozeman, MT Micro Area",17.3,0.7
0100000US,,United States,310M100US14620,14620,"United States - In metropolitan or micropolitan statistical area - Bradford, PA Micro Area","Bradford, PA Micro Area",18.8,0.7
0100000US,,United States,310M100US14660,14660,"United States - In metropolitan or micropolitan statistical area - Brainerd, MN Micro Area","Brainerd, MN Micro Area",21.4,0.5
0100000US,,United States,310M100US14700,14700,"United States - In metropolitan or micropolitan statistical area - Branson, MO Micro Area","Branson, MO Micro Area",22.8,0.8
0100000US,,United States,310M100US14740,14740,"United States - In metropolitan or micropolitan statistical area - Bremerton-Silverdale, WA Metro Area","Bremerton-Silverdale, WA Metro Area",29.9,0.6
0100000US,,United States,310M100US14780,14780,"United States - In metropolitan or micropolitan statistical area - Brenham, TX Micro Area","Brenham, TX Micro Area",20.8,1.5
0100000US,,United States,310M100US14820,14820,"United States - In metropolitan or micropolitan statistical area - Brevard, NC Micro Area","Brevard, NC Micro Area",21.8,1.3
0100000US,,United States,310M100US14860,14860,"United States - In metropolitan or micropolitan statistical area - Bridgeport-Stamford-Norwalk, CT Metro Area","Bridgeport-Stamford-Norwalk, CT Metro Area",28.2,0.3
0100000US,,United States,310M100US14940,14940,"United States - In metropolitan or micropolitan statistical area - Brigham City, UT Micro Area","Brigham City, UT Micro Area",22.2,1.0
0100000US,,United States,310M100US15020,15020,"United States - In metropolitan or micropolitan statistical area - Brookhaven, MS Micro Area","Brookhaven, MS Micro Area",28.4,2.3
0100000US,,United States,310M100US15060,15060,"United States - In metropolitan or micropolitan statistical area - Brookings, OR Micro Area","Brookings, OR Micro Area",14.0,1.8
0100000US,,United States,310M100US15100,15100,"United States - In metropolitan or micropolitan statistical area - Brookings, SD Micro Area","Brookings, SD Micro Area",14.0,1.2
